polymer,mp,mw
"Poly(cis-1,4-cyclohexylenedimethylene adipamide)",235.5,252.36
"Poly(cis-1,4-cyclohexylenedimethylene azelamide)",195.0,294.44
"Poly(cis-1,4-cyclohexylenedimethylene dodecanediamide)",202.5,336.52
"Poly(cis-1,4-cyclohexylenedimethylene glutaramide)",167.0,238.33
"Poly(cis-1,4-cyclohexylenedimethylene p-phenylenediacetate)",55.0,302.37
"Poly(cis-1,4-cyclohexylenedimethylene pimelamide)",191.0,266.38
"Poly(cis-1,4-cyclohexylenedimethylene sebacamide)",204.0,308.47
"Poly(cis-1,4-cyclohexylenedimethylene suberamide)",215.0,280.41
"Poly(cis-1,4-cyclohexylenedimethylene trans-1,4-cyclohexylenedicarboxylate)",205.0,280.36
Poly(cis-1-butoxy-2-methylethylene),100.0,114.19
Poly(cis-1-ethoxy-2-methylethylene),199.0,86.13
Poly(cis-1-isopropoxy-2-methylethylene),204.0,100.16
Poly(cis-1-tert-butoxy-2-methylethylene),250.0,114.19
Poly(cis-2-butenylene hexamethylenediurethane),136.0,256.3
"Poly(cis-4,4'-isopropylidenediphenylene cyclopropylene-dicarboxylate)",130.0,322.36
Poly(cis-cyclopropylenedimethylene cyclopropylenediurethane),175.0,226.23
Poly(cis-cyclopropylenedimethylene hexamethylenediurethane),120.0,270.33
Poly(cis-cyclopropylenedimethylene piperazinediurethane),70.0,240.26
Poly(cis-cyclopropylenedimethylene toluylenediurethane),170.0,276.29
Poly(cis-m-phenylene cyclopropylenedi(carboxylate)),65.0,204.18
Poly(cis-p-phenylene cyclopropylenedicarboxylate),160.0,204.18
Poly(cyano-p-xylylene),270.0,129.16
Poly(cyclohexene oxide),126.0,98.14
Poly(cyclohexylidenedimethylene oxide),152.0,126.2
Poly(cyclohexylidenethiohexamethylene sulfide),75.0,230.44
Poly(cyclopropylene cyclopropylenedicarboxamide),285.0,166.18
Poly(cyclopropylene hexamethylenediurea),180.0,240.31
Poly(cyclopropylene isophthalamide),250.0,202.21
Poly(cyclopropylene piperazinediurea),260.0,210.24
Poly(cyclopropylene sebacamide),220.0,238.33
Poly(cyclopropylenedimethylene cyclopropylenedicarboxamide),220.0,194.23
Poly(cyclopropylenedimethylene isophthalamide),220.0,230.27
Poly(cyclopropylenedimethylene isophthalate),100.0,232.24
Poly(cyclopropylenedimethylene sebacamide),223.0,266.38
